ID 	Public/private	SS	SS_pos 	SS_2014_pos	SS_2014_up	biome	feature	material	env_package	location	latitude	longitude	depth
4441576.3	Public	-0.302	1.528	2.495	1.989	marine habitat	marine habitat	marine habitat	water	Sargasso Sea	32.1667	-64.5	5
4441577.3	Public	-1.102	1.201	1.917	1.303	marine habitat	marine habitat	marine habitat	water	Sargasso Sea	32.1667	-64.5	5
4441578.3	Public	-0.549	2.726	3.159	1.942	marine habitat	marine habitat	marine habitat	water	Sargasso Sea	32.1667	-64.5	5
4441579.3	Public	1.239	3.118	3.718	2.558	marine habitat	marine habitat	marine habitat	water	Gulf of Maine	42.5031	-67.24	1
4441580.3	Public	-0.463	1.022	1.178	0.736	marine habitat	marine habitat	marine habitat	water	Browns Bank, Gulf of Maine	42.85278	-66.2172	1
4441581.3	Public	-0.021	1.113	1.211	1.15	marine habitat	marine habitat	marine habitat	water	Bedford Basin, Nova Scotia	44.69	63.637	1
4441582.3	Public	7.773	13.853	15.296	11.355	marine habitat	marine habitat	marine habitat	water	Bay of Fundy, Nova Scotia	44.112	-64.9467	1
4441583.3	Public	0.347	2.792	3.724	2.856	marine habitat	marine habitat	marine habitat	water	Newport Harbor, RI	41.4858	-71.3511	1
4441584.3	Public	-0.196	1.91	2.867	2.351	marine habitat	marine habitat	marine habitat	water	Chesapeake Bay, MD	38.9469	-76.4172	13.2 m
4441585.3	Public	8.139	14.577	15.104	11.2	marine habitat	marine habitat	marine habitat	water	Off Nags Head, NC	36.00389	-75.3947	2.1
4441586.3	Public	-0.066	1.356	2.164	2.074	marine habitat	marine habitat	marine habitat	water	Caribbean Sea, Off Key West, FL	24.4883	-83.07	1.7
4441587.3	Public	-1.489	2.631	3.507	1.828	marine habitat	marine habitat	marine habitat	water	Yucatan Channel	20.5225	-85.4136	2
4441588.3	Public	-2.367	0.269	0.487	-0.512	marine habitat	marine habitat	marine habitat	water	Caribbean Sea, Rosario Bank	18.0367	-83.785	1.7
4441589.3	Public	7.358	13.691	14.783	11.042	marine habitat	marine habitat	marine habitat	water	Caribbean Sea, Northeast of Colon	10.7164	-80.2544	1.7
4441590.3	Public	7.489	13.935	13.535	9.752	freshwater habitat	freshwater habitat	freshwater habitat	water	Lake Gatun, Panama	9.1644	-79.83611	4.2
4441591.3	Public	7.696	14.134	15.462	11.512	marine habitat	marine habitat	marine habitat	water	Eastern Tropical Pacific, Gulf of Panama	8.1292	-79.6911	1.6
4441592.3	Public	-2.584	1.286	1.897	0.849	marine habitat	marine habitat	marine habitat	water	Eastern Tropical Pacific, 250 miles from Panama City	6.4927	-82.90389	2
4441593.3	Public	4.226	10.459	11.261	8.107	marine habitat	marine habitat	marine habitat	water	Eastern Tropical Pacific, Dirty Rock, Cocos Island	5.55278	-87.0878	1.1
4441594.3	Public	6.694	12.902	14.419	10.778	marine habitat	marine habitat	marine habitat	water	Open Ocean, 134 miles NE of Galapagos	1.2642	-90.295	2
4441595.3	Public	6.61	12.965	14.476	10.889	marine habitat	marine habitat	marine habitat	water	Galapagos Islands, Devil	1.2161	-90.42278	2.2
4441596.3	Public	7.219	13.552	14.419	10.83	marine habitat	marine habitat	marine habitat	water	Galapagos Islands - North James Bay, Santigo Island	0.2	-90.8353	2.1
4441596.4	Public	7.577	13.785	15.216	11.488	marine habitat	marine habitat	marine habitat	water	Galapagos Islands, Coastal Floreana	1.2169	-90.3197	2
4441597.3	Public	8.943	15.276	15.512	11.594	marine habitat	marine habitat	marine habitat	water	Upwelling, Fernandina Island	0.30111	-91.65167	12
4441598.3	Public	9.272	15.707	16.303	12.142	marine habitat	marine habitat	marine habitat	water	Galapagos Islands - Mangrove on Isabella Island	-0.59389	-91.06944	0.1
